text,violence,sexual,profanity,alcohol_drugs,scary,sev_violence,sev_sexual,sev_profanity,sev_alcohol_drugs,sev_scary,sev_violence_num,sev_sexual_num,sev_profanity_num,sev_alcohol_drugs_num,sev_scary_num
"Довольно далеко.
Боков и Эксперт идут по поляне с кровью. Добровольская за ними. [ep: v=Mild]
БОКОВ
Раздел. Насиловать не стал, но резал ножом. Вот здесь. Потом забрал все его вещи и куда-то спрятал. [ep: v=Severe]
ЭКСПЕРТ
Или унёс с собой. Как фетиш.
БОКОВ
Хуёво. [ep: p=Severe]
Оборачивается к Добровольской.
БОКОВ
Не было у Панова вещей случайно, а, Наталья? Или может он их спрятал куда-то? Не ра",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"льская за ними. [ep: v=Mild]
БОКОВ
Раздел. Насиловать не стал, но резал ножом. Вот здесь. Потом забрал все его вещи и куда-то спрятал. [ep: v=Severe]
ЭКСПЕРТ
Или унёс с собой. Как фетиш.
БОКОВ
Хуёво. [ep: p=Severe]
Оборачивается к Добровольской.
БОКОВ
Не было у Панова вещей случайно, а, Наталья? Или может он их спрятал куда-то? Не рассказал вам? Может, есть идеи, зачем он это сделал?
Добровольская",0,0,1,0,0,None,None,Severe,None,None,0.0,0.0,1.0,0.0,0.0
"лья? Или может он их спрятал куда-то? Не рассказал вам? Может, есть идеи, зачем он это сделал?
Добровольская молчит.
Боков внимательно осматривает поляну.
БОКОВ
Дождь ещё этот, всё, сука, смыло, всё… [ep: p=Severe]
Боков вдруг обращает внимание на пакет с рыбами, аккуратно приподнимает его – удача: под пакетом сохранился отпечаток.Боков делает знак Эксперту и Кинологу. Закуривает. [ep: a=Mild]
Экс",0,0,1,0,0,None,None,Severe,None,None,0.0,0.0,1.0,0.0,0.0
"ка, смыло, всё… [ep: p=Severe]
Боков вдруг обращает внимание на пакет с рыбами, аккуратно приподнимает его – удача: под пакетом сохранился отпечаток.Боков делает знак Эксперту и Кинологу. Закуривает. [ep: a=Mild]
Эксперт-фотограф фотографирует, измеряет, диктует.
ЭКСПЕРТ
След от обуви, длина 28 см, ширина 15, глубина 5.
Делает слепки.
БОКОВ
(Добровольской)
У отца какой размер обуви?
ДОБРОВОЛЬСКАЯ",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"ль от костра раздаётся голос.
СОТРУДНИК 3 (ЗК)
Есть! Нашёл!

Подходит Эксперт, поднимает обгоревшую часть фотокарточки, очевидно, что это остатки порнографического сюжета, унесённые ветром из костра. [ep: s=Moderate]

ЭКСПЕРТ
Обгоревший фрагмент фотографии.

Складывает в полиэтиленовый пакет для вещдоков, понятые расписываются.

КИНОЛОГ
Следы уходят в реку и все, с концами. Будем искать вдоль реки",0,1,0,0,0,None,Moderate,None,None,None,0.0,0.66,0.0,0.0,0.0
"ь хорошо! Без меня не докладывай, хочу посмотреть, как она будет закусывать губу, шоб не заплакать от обиды.
Хван выходит, Боков закуривает, звонит по телефону через восьмёрку. Никто не берёт трубку. [ep: a=Mild]
В кабинет приводят Панова. Он по-прежнему в наручниках. Какой-то весь сгорбленный, маленький, идёт очень медленно, в бессознательном состоянии. Боков указывает ему на стул. Панов садится.",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"детей, сколько дай бог никому не видеть за всю жизнь. Тот, кто их убивает, - не просто убийца. Он, как бы вам объяснить. Он сам как ребёнок, такой… очень злой. Который лапки жукам отрывает и смотрит. [ep: v=Severe]
Панов как будто не слышит Бокова. Он продолжает смотреть в стену с совершенно отрешённым лицом.
БОКОВ
У меня для вас важные слова есть. Если это так можно сказать. Ваш сын - не страдал.",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"бинета Панов вдруг оборачивается.
ПАНОВ
Я на войне много людей убил. И один раз убил ребёнка. И мать его меня прокляла. И вот это проклятье и забрало у меня сына. Вы ничего не найдёте. Это злой джин. [ep: v=Severe]
Хван выводит Панова из кабинета. Боков закуривает, смотрит в окно. [ep: a=Mild]
Заходит Добровольская.
ДОБРОВОЛЬСКАЯ
Готово заключение экспертов, и я написала опрос родственников погибш",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"ил ребёнка. И мать его меня прокляла. И вот это проклятье и забрало у меня сына. Вы ничего не найдёте. Это злой джин. [ep: v=Severe]
Хван выводит Панова из кабинета. Боков закуривает, смотрит в окно. [ep: a=Mild]
Заходит Добровольская.
ДОБРОВОЛЬСКАЯ
Готово заключение экспертов, и я написала опрос родственников погибшего, готова доложить.
БОКОВ
От вас пахнет “Дружбой народов”.
ДОБРОВОЛЬСКАЯ
(пауза)",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"и. После чего преступник сжёг одежду и вещи ребёнка, и исчез в реке. Отпечатков пальцев нет, из улик - биоматериалы преступника во рту мальчика, отпечаток ноги и обгоревшая порнографическая карточка. [ep: v=Mild, s=Moderate]

КОЗЫРЕВ
Козырев, следователь по особо важным делам при прокуратуре СССР. Нас пока мало интересуют детали. Давайте сразу с выводов. Это Ростовский маньяк?

БОКОВ
За этот вопро",1,1,0,0,0,Mild,Moderate,None,None,None,0.33,0.66,0.0,0.0,0.0
"внешне они слишком разные, чтобы подружиться.

Несколько шагов идут молча, пока не доходят до очереди.

КОЗЫРЕВ
Слушай, бананы выбросили. Давай постоим? Мне домой надо.

БОКОВ
На хера? Они ж зелёные. [ep: p=Moderate]

КОЗЫРЕВ
На антресоли положить - и дозреют. В них, между прочим, источник эндорфинов - гормонов счастья.

БОКОВ
Хорошо тебе живётся, если ты от бананов счастливым становишься.

КОЗЫРЕ",0,0,1,0,0,None,None,Moderate,None,None,0.0,0.0,0.66,0.0,0.0
"ЫРЕВ
Ты позже прилетел, я уточнял. Тебе как Москва? Первый раз?

БОКОВ
Первый раз… я вижу, чтоб пацану мошонку вырезали и в глотку запихали. А Москву вашу сто раз видел и ещё б столько же ж не видел. [ep: v=Mild]

КОЗЫРЕВ
Это у нас сейчас так стало, в последние пару лет. До этого порядок был и закон. Особенно при Андропове.

БОКОВ
Бананы при Андропове были спелыми? Или не портились на антресолях?",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"удный. Давай по делу. Мне надо в Ростов очень. Напиши на меня заяву, шоб меня сняли с дела? И сам оставайся главным? Тебе ж противно, шо я начальник? А я даже оправдываться не буду. И с меня шамайка. [ep: p=Severe]

КОЗЫРЕВ
Никаких оснований для заявления на тебя у меня нет. Как руководство решило - так и будем работать.

БОКОВ
Ладно, я тебе эти основания организую.

Разворачивается и уходит.Козыр",0,0,1,0,0,None,None,Severe,None,None,0.0,0.0,1.0,0.0,0.0
"9)

Мальчик Игорь смотрит по видеомагнитофону “Звёздные войны”.

ГОЛОС (ЗК)
В роли принцессы Леи - Керри Фишер.

В комнату заходит отец, с коньячным бокалом и блокнотом. Ставит бокал. Выключает кино. [ep: a=Mild]

МАЛЬЦЕВ
Извини, я тебе не поверил. И был неправ. Я умею признавать свои ошибки. И ты учись. Вот тебе подарок, чтоб ты запомнил эту важную вещь.

Отдаёт Игорю блокнот в красной кожаной об",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"рналист! И выдумки можешь записывать, и правду.

Треплет сына по голове.

МАЛЬЦЕВ
Спускайся давай, у нас гости.

ИГОРЬ
Спасибо. Я не хочу. Я тогда очень испугался. Он был совсем голый и весь в крови. [ep: v=Severe]

МАЛЬЦЕВ
Да я понял, напиши уже все это на бумаге, выплесни моральную травму и давай двигаться дальше.

Берёт бокал, отпивает коньяк. Берёт Игоря за плечи и ведёт вниз. [ep: a=Mild]

[L",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"и весь в крови. [ep: v=Severe]

МАЛЬЦЕВ
Да я понял, напиши уже все это на бумаге, выплесни моральную травму и давай двигаться дальше.

Берёт бокал, отпивает коньяк. Берёт Игоря за плечи и ведёт вниз. [ep: a=Mild]

[Labels: v=Severe, sc=None, p=None, s=None, a=Mild]

1-25. ИНТ. ДАЧА МАЛЬЦЕВЫХ.ГОСТИНАЯ НОЧЬ 2. 
ИГОРЬ, МАЛЬЦЕВ, МАЛЬЦЕВА, ЧЕЛОВЕК В МОДНЫХ ОЧКАХ, женщина, гость мужчина, гость женщина (",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"хохот, веселье, играет “на недельку до второго”. Ярко накрашенная женщина перекрикивает Игоря Скляра:

ЖЕНЩИНА
На недельку, до второго, закопаем Горбачёва. Откопаем Брежнева — будем пить по-прежнему. [ep: v=Mild, a=Mild]

Все хохочут. Игорь пишет в своём блокноте союза журналистов:

“Меня окружают пустые, глупые, ужасные люди.”

ЧЕЛОВЕК В МОДНЫХ ОЧКАХ
А слушали “Голос Америки” позавчера? Там про Р",1,0,0,1,0,Mild,None,None,Mild,None,0.33,0.0,0.0,0.33,0.0
"кружают пустые, глупые, ужасные люди.”

ЧЕЛОВЕК В МОДНЫХ ОЧКАХ
А слушали “Голос Америки” позавчера? Там про Рублёвку рассказывали, убийство ребёнка и полный правовой беспредел. Вот и вошли в историю. [ep: v=Severe]
(Мальцеву)
А ты бы, Геннадий, взял, да и сделал для них репортаж. Со всеми подробностями.

МАЛЬЦЕВ
Чтоб меня из союза попёрли?

МАЛЬЦЕВА
Из Советского-то? Да с удовольствием!

МАЛЬЦЕВ
Я",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
